nutrient_id,nutrient_url,nutrient_name,nutrient_abbreviation,nutrient_name_systematic,nutrient_name_common,nutrient_size,nutrient_type,nutrient_type_id,nutrient_subtype,nutrient_sub_subtype,nutrient_description,nutrient_essential
alanine,alanine,alanine,,,,,amino acid,amino_acid,,,,FALSE
arginine,arginine,arginine,,,,,amino acid,amino_acid,,,,trace
aspartic_acid,aspartic-acid,aspartic acid,,,,,amino acid,amino_acid,,,,FALSE
betaine,betaine,betaine,,,,,amino acid,amino_acid,,,,FALSE
cystine,cystine,cystine,,,,,amino acid,amino_acid,,,,trace
glutamic_acid,glutamic-acid,glutamic acid,,,,,amino acid,amino_acid,,,,trace
glycine,glycine,glycine,,,,,amino acid,amino_acid,,,,trace
histidine,histidine,histidine,,,,,amino acid,amino_acid,,,,major
hydroxyproline,hydroxyproline,hydroxyproline,,,,,amino acid,amino_acid,,,,FALSE
isoleucine,isoleucine,isoleucine,,,,,amino acid,amino_acid,,,,major
leucine,leucine,leucine,,,,,amino acid,amino_acid,,,,major
lysine,lysine,lysine,,,,,amino acid,amino_acid,,,,major
methionine,methionine,methionine,,,,,amino acid,amino_acid,,,,major
phenylalanine,phenylalanine,phenylalanine,,,,,amino acid,amino_acid,,,,major
proline,proline,proline,,,,,amino acid,amino_acid,,,,FALSE
serine,serine,serine,,,,,amino acid,amino_acid,,,,FALSE
threonine,threonine,threonine,,,,,amino acid,amino_acid,,,,major
tryptophan,tryptophan,tryptophan,,,,,amino acid,amino_acid,,,,major
tyrosine,tyrosine,tyrosine,,,,,amino acid,amino_acid,,,,trace
valine,valine,valine,,,,,amino acid,amino_acid,,,,major
fiber,fiber,fiber,,,,,carbohydrate,carbohydrate,,,,
fructose,fructose,fructose,,,,,carbohydrate,carbohydrate,,,,
galactose,galactose,galactose,,,,,carbohydrate,carbohydrate,,,,
glucose,glucose,glucose,,,,,carbohydrate,carbohydrate,,,,
lactose,lactose,lactose,,,,,carbohydrate,carbohydrate,,,,
maltose,maltose,maltose,,,,,carbohydrate,carbohydrate,,,,
starch,starch,starch,,,,,carbohydrate,carbohydrate,,,,
sucrose,sucrose,sucrose,,,,,carbohydrate,carbohydrate,,,,
sugar,sugar,sugar,,,,,carbohydrate,carbohydrate,,,,
saturated_fat,saturated-fat,saturated fat,,,,,fat,fat,,,,
trans_fat,trans-fat,trans fat,,,,,fat,fat,,,,
trans_monoenoic_fat,trans-monoenoic-fat,trans monoenoic fat,,,,,fat,fat,,,,
trans_polyenoic_fat,trans-polyenoic-fat,trans polyenoic fat,,,,,fat,fat,,,,
c04_d0,butyric-acid,Butyric acid,,Butanoic acid,,,fatty acid,fatty_acid,saturated,,,
c06_d0,caproic-acid,Caproic acid,,Hexanoic acid,,,fatty acid,fatty_acid,saturated,,,
c08_d0,caprylic-acid,Caprylic acid,,Octanoic acid,,,fatty acid,fatty_acid,saturated,,,
c10_d0,capric-acid,capric acid,,Decanoic acid,,,fatty acid,fatty_acid,saturated,,,
c12_d0,lauric-acid,lauric acid,,Dodecanoic acid,,,fatty acid,fatty_acid,saturated,,,
c13_d0,tridecylic-acid,Tridecylic acid,,Tridecanoic acid,,,fatty acid,fatty_acid,saturated,,,
c14_d0,myristic-acid,myristic acid,,Tetradecanoic acid,,,fatty acid,fatty_acid,saturated,,,
c14_d1,myristoleic-acid,Myristoleic Acid,,9-cis-Tetradecenoic acid,,,fatty acid,fatty_acid,polyunsaturated,,,
c15_d0,pentadecylic-acid,Pentadecylic acid,,Pentadecanoic acid,,,fatty acid,fatty_acid,saturated,,,
c15_d1,ginkgolic-acid,Ginkgolic acid ,,,,,fatty acid,fatty_acid,polyunsaturated,,,
c16_d0,palmitic-acid,palmitic acid,,,,,fatty acid,fatty_acid,saturated,,,
c16_d1_cis,palmitoleic-acid,palmitoleic acid,,,,,fatty acid,fatty_acid,polyunsaturated,,,
c16_d1_trans,palmitelaidic-acid,palmitelaidic acid ,,,,,fatty acid,fatty_acid,polyunsaturated,,,
c16_d1_undifferentiated,hexadecenoic-acid,hexadecenoic acid,,hexadecenoic acid,,,fatty acid,fatty_acid,polyunsaturated,,,
